order,family,species
Rodentia,Sciuridae,Sciurus vulgaris
Carnivora,Canidae,Vulpes vulpes
Carnivora,Felidae,Lynx lynx
Lagomorpha,Leporidae,Oryctolagus cuniculus
Rodentia,Myocastoridae,Myocastor coypus
Cetacea,Phocoenidae,Phocoena phocoena
Carnivora,Phocidae,Phoca vitulina
Carnivora,Phocidae,Halichoerus grypus
Carnivora,Felidae,Felis silvestris
Soricomorpha,Talpidae,Talpa europaea
Rodentia,Gliridae,Eliomys quercinus
Lagomorpha,Leporidae,Lepus europaeus
Artiodactyla,Cervidae,Capreolus capreolus
Rodentia,Cricetidae,Cricetus cricetus
Carnivora,Canidae,Nyctereutes procyonoides
Carnivora,Procyonidae,Procyon lotor
Rodentia,Castoridae,Castor fiber
Erinaceomorpha,Erinaceidae,Erinaceus europaeus
Rodentia,Muridae,Apodemus sylvaticus
Chiroptera,Vespertilionidae,Pipistrellus pipistrellus
Artiodactyla,Suidae,Sus scrofa
Chiroptera,Vespertilionidae,Nyctalus noctula
Chiroptera,Vespertilionidae,Nyctalus leisleri
Rodentia,Cricetidae,Ondatra zibethicus
Carnivora,Mustelidae,Meles meles
Carnivora,Mustelidae,Mustela nivalis
Carnivora,Mustelidae,Martes foina
Rodentia,Muridae,Micromys minutus
Carnivora,Mustelidae,Mustela erminea
Rodentia,Muridae,Rattus norvegicus
Rodentia,Gliridae,Muscardinus avellanarius
Chiroptera,Vespertilionidae,Myotis myotis
Chiroptera,Vespertilionidae,Myotis daubentonii
Soricomorpha,Soricidae,Sorex araneus
Chiroptera,Vespertilionidae,Myotis nattereri
Rodentia,Muridae,Apodemus agrarius
Chiroptera,Vespertilionidae,Plecotus auritus
Chiroptera,Vespertilionidae,Barbastella barbastellus
Rodentia,Muridae,Apodemus flavicollis
Chiroptera,Vespertilionidae,Myotis emarginatus
Artiodactyla,Cervidae,Cervus elaphus
Rodentia,Cricetidae,Microtus arvalis
Carnivora,Mustelidae,Mustela putorius
Carnivora,Mustelidae,Martes martes
Soricomorpha,Soricidae,Crocidura russula
Carnivora,Mustelidae,Lutra lutra
Chiroptera,Rhinolophidae,Rhinolophus ferrumequinum
Rodentia,Gliridae,Glis glis
Chiroptera,Vespertilionidae,Pipistrellus pygmaeus
Chiroptera,Vespertilionidae,Myotis mystacinus
Chiroptera,Rhinolophidae,Rhinolophus hipposideros
Soricomorpha,Soricidae,Neomys fodiens
Chiroptera,Vespertilionidae,Myotis bechsteinii
Chiroptera,Vespertilionidae,Vespertilio murinus
Chiroptera,Vespertilionidae,Pipistrellus nathusii
Chiroptera,Vespertilionidae,Myotis dasycneme
Artiodactyla,Cervidae,Dama dama
Soricomorpha,Soricidae,Crocidura leucodon
Rodentia,Castoridae,Castor canadensis
Chiroptera,Vespertilionidae,Plecotus austriacus
Soricomorpha,Soricidae,Sorex minutus
Chiroptera,Vespertilionidae,Myotis brandtii
Soricomorpha,Soricidae,Sorex coronatus
Cetacea,Delphinidae,Lagenorhynchus albirostris
Artiodactyla,Bovidae,Rupicapra rupicapra
Carnivora,Canidae,Canis lupus
Rodentia,Muridae,Mus musculus
Artiodactyla,Cervidae,Cervus nippon
Rodentia,Cricetidae,Arvicola amphibius
Rodentia,Cricetidae,Microtus agrestis
Cetacea,Balaenopteridae,Megaptera novaeangliae
Rodentia,Sciuridae,Marmota marmota
Artiodactyla,Bovidae,Capra ibex
Artiodactyla,Cervidae,Alces alces
Chiroptera,Vespertilionidae,Pipistrellus kuhlii
Chiroptera,Miniopteridae,Miniopterus schreibersii
Rodentia,Muridae,Rattus rattus
Rodentia,Cricetidae,Microtus subterraneus
Lagomorpha,Leporidae,Lepus timidus
Cetacea,Delphinidae,Delphinus delphis
Chiroptera,Vespertilionidae,Myotis alcathoe
Cetacea,Hyperoodontidae,Hyperoodon ampullatus
Soricomorpha,Soricidae,Crocidura gueldenstaedtii
Cetacea,Delphinidae,Tursiops truncatus
Carnivora,Phocidae,Pusa hispida
Soricomorpha,Soricidae,Sorex alpinus
Carnivora,Canidae,Canis aureus
Cetacea,Balaenopteridae,Balaenoptera physalus
Artiodactyla,Bovidae,Bison bonasus
Rodentia,Dipodidae,Sicista betulina
Soricomorpha,Soricidae,Neomys milleri
Cetacea,Hyperoodontidae,Mesoplodon bidens
Carnivora,Phocidae,Pagophilus groenlandicus
Carnivora,Mustelidae,Mustela lutreola
Carnivora,Odobenidae,Odobenus rosmarus
Rodentia,Sciuridae,Spermophilus citellus
Chiroptera,Vespertilionidae,Hypsugo savii
Carnivora,Ursidae,Ursus arctos
Chiroptera,Vespertilionidae,Nyctalus lasiopterus
Chiroptera,Vespertilionidae,Myotis blythii
Rodentia,Gliridae,Dryomys nitedula
Cetacea,Delphinidae,Orcinus orca
Cetacea,Monodontidae,Monodon monoceros
Cetacea,Delphinidae,Globicephala melas
Cetacea,Monodontidae,Delphinapterus leucas
Cetacea,Delphinidae,Stenella coeruleoalba
Rodentia,Muridae,Apodemus alpicola
